country,country_code,super_region,region,sex,age,pop,alcohol_use,drug_use,high_meat,low_exercise,smoking
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,male,70+ years,38180104,336.9135316,40.21075147,5.06985416,248.2668497,1944.480464
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,female,50-69 years,153070256,21.00055717,4.697916302,1.077715569,12.91998196,37.80770931
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,male,Under 5,44586785.36,0.2369085,0.120826826,NA,NA,NA
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,male,5-14 years,82995384,1.292633169,0.038497942,NA,NA,NA
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,male,15-49 years,390168996,35.8499412,5.677337322,0.188489696,3.058205402,30.7975075
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,male,50-69 years,156482208,152.4333376,17.35727419,1.775640703,34.52058299,374.5386843
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,female,5-14 years,71481072,0.868670122,0.039037047,NA,NA,NA
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,female,15-49 years,365100616,4.69305669,1.75153782,0.099397084,0.899956285,2.656216384
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,female,Under 5,38547038.16,0.183050372,0.126190423,NA,NA,NA
China,CHN,"Southeast Asia, East Asia, and Oceania",East Asia,female,70+ years,42858944,77.30487851,12.98947755,3.055657726,156.5269777,585.9641824
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,male,Under 5,895510.178,0.186888769,0.101430771,NA,NA,NA
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,female,Under 5,855331.5267,0.19562176,0.109240023,NA,NA,NA
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,male,70+ years,470954,242.74108,59.90958889,0.776154684,211.7321128,2364.892513
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,female,50-69 years,2515588,27.34530717,10.46540565,0.230147589,15.13175375,186.1481578
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,female,70+ years,1039560,72.21355336,17.56608399,0.449831623,108.2023955,1097.656041
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,male,5-14 years,1826308,1.078984224,0.029139392,NA,NA,NA
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,male,15-49 years,6863832,47.04332969,10.8657965,0.048303974,5.326004612,73.16699484
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,male,50-69 years,2245503,147.263112,35.66588275,0.349363131,45.28576683,714.7154771
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,female,5-14 years,1751028,0.709501182,0.028815924,NA,NA,NA
North Korea,PRK,"Southeast Asia, East Asia, and Oceania",East Asia,female,15-49 years,6695147,7.332168025,3.73191433,0.02840016,1.2699119,16.44486911
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,male,70+ years,923169.3907,338.6294469,89.06512521,16.59235859,237.1612471,1474.818867
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,female,50-69 years,3056423.5,19.38137284,6.657878839,2.713289177,7.450645353,51.22059374
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,female,70+ years,1078713.031,81.14448283,19.40817165,12.15431621,92.56181656,415.7234449
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,male,5-14 years,1278556.406,0.605017976,0.006473241,NA,NA,NA
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,male,15-49 years,6433935.938,46.14856152,10.46215257,0.575919103,2.902310371,32.83223196
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,male,50-69 years,2930664.531,159.3478024,36.61444644,5.057552698,26.09117946,239.0374662
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,female,5-14 years,1167339.719,0.42474112,0.005961599,NA,NA,NA
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,female,15-49 years,6350208.125,4.646101661,1.646646524,0.262458389,0.672413489,6.591818965
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,male,Under 5,533215.5225,0.146763421,0.023685945,NA,NA,NA
Taiwan,TWN,"Southeast Asia, East Asia, and Oceania",East Asia,female,Under 5,487514.1834,0.150790083,0.032121295,NA,NA,NA
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,4155538,44.48487016,8.348798292,0.066215898,3.214871322,36.93477192
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,788722,171.1273915,16.45084994,0.94082634,53.4113613,583.9515943
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,1548923,0.382469716,0.172874627,NA,NA,NA
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,4269689,6.603810471,2.696230877,0.049570929,1.420922217,5.714994404
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,147755,319.2552598,13.39293231,2.01139228,266.5817039,2546.902001
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,1069482,46.2957978,3.754610952,0.814731357,33.90264756,114.2303925
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,910971.7317,0.29677667,0.460341335,NA,NA,NA
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,223742,153.2482216,2.815738662,1.667199831,213.2100053,466.5978253
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,1602495,0.845308568,0.146689354,NA,NA,NA
Cambodia,KHM,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,875149.1453,0.274487206,0.546200317,NA,NA,NA
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,5-14 years,23900000,0.166115194,0.038020204,NA,NA,NA
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,Under 5,12153048.71,0.014568283,0.245807109,NA,NA,NA
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,Under 5,12646842.77,0.02293818,0.259538024,NA,NA,NA
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,3434261,87.54009032,27.21835335,0.19650588,381.4279102,1226.311456
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,19091379,24.0053545,3.260345329,0.127676992,59.13496716,59.05323196
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,70715845,11.4873641,8.44964452,0.017595086,9.538302402,49.83905237
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,19048439,32.59670921,24.17027863,0.141095677,96.51409928,416.3339268
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,5-14 years,22500000,0.062695216,0.035420814,NA,NA,NA
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,69582834,4.416274169,1.492092815,0.014385229,4.282781811,6.817315443
Indonesia,IDN,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,4548311,93.35444775,4.09034983,0.145423837,310.6002463,161.9578106
Laos,LAO,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,70+ years,66435,145.3390927,12.3613805,2.266027695,277.0951483,2170.678601
Laos,LAO,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,15-49 years,1793814,32.14919998,4.974525655,0.089247226,3.719038068,43.35761187
Laos,LAO,"Southeast Asia, East Asia, and Oceania",Southeast Asia,male,50-69 years,318874,97.85102448,10.33216249,1.143904137,59.99632413,593.3214445
Laos,LAO,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,50-69 years,357905,28.90781034,1.571580106,1.202148906,40.06814852,173.088233
Laos,LAO,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,70+ years,88386,81.8958506,2.686992957,2.328467235,245.0595843,650.6479345
Laos,LAO,"Southeast Asia, East Asia, and Oceania",Southeast Asia,female,15-49 years,1811572,6.294061313,0.657693772,0.076992501,1.714301288,13.49408412
